No.,Name
1,srcip
2,sport
3,dstip
4,dsport
5,proto
6,state
7,dur
8,sbytes
9,dbytes
10,sttl
11,dttl
12,sloss
13,dloss
14,service
15,Sload
16,Dload
17,Spkts
18,Dpkts
19,swin
20,dwin
21,stcpb
22,dtcpb
23,smeansz
24,dmeansz
25,trans_depth
26,res_bdy_len
27,Sjit
28,Djit
29,Stime
30,Ltime
31,Sintpkt
32,Dintpkt
33,tcprtt
34,synack
35,ackdat
36,is_sm_ips_ports
37,ct_state_ttl
38,ct_flw_http_mthd
39,is_ftp_login
40,ct_ftp_cmd
41,ct_srv_src
42,ct_srv_dst
43,ct_dst_ltm
44,ct_src_ ltm
45,ct_src_dport_ltm
46,ct_dst_sport_ltm
47,ct_dst_src_ltm
48,attack_cat
49,Label
